Name,Mu_BI,Uhat_BI,BI,BI_ilink,Mu_Sind,Uhat_SInd,Sind,Sind_ilink,DSI_general_ilink,DSI_Uhat_general,DSI_BLUP_general,Q1,Q2,Q3,Q4
S85,-0.765807895,0.224897767,-0.540910128,0.367975889,-0.951947639,0.226182873,-0.725764766,0.326124807,0.347050348,0.22554032,-0.633337447,1.53E-14,1.21E-37,1.11E-17,1
S86,-0.765807895,-0.157321299,-0.923129193,0.284320729,-0.951947639,0.152215241,-0.799732398,0.310082764,0.297201747,-0.002553029,-0.861430796,1.47E-13,7.70E-34,2.78E-19,1
S87,-0.765807895,0.021794644,-0.74401325,0.322127181,-0.951947639,0.254725274,-0.697222365,0.332428353,0.327277767,0.138259959,-0.720617808,1.69E-17,2.50E-41,3.15E-20,1
S88,-0.765807895,-0.017615013,-0.783422907,0.31358264,-0.951947639,0.034312054,-0.917635586,0.285439905,0.299511273,0.008348521,-0.850529247,1.25E-12,7.52E-34,3.74E-18,1
S89,-0.765807895,-0.135571482,-0.901379377,0.288767118,-0.951947639,-0.015286274,-0.967233913,0.275432185,0.282099651,-0.075428878,-0.934306645,0.0000793,0.99991929,0.00000138,3.45E-17
S9,-0.765807895,0.182136252,-0.583671643,0.358088187,-0.951947639,0.034312054,-0.917635586,0.285439905,0.321764046,0.108224153,-0.750653615,6.43E-13,1.23E-33,9.30E-17,1
S90,-0.765807895,-0.283430536,-1.049238431,0.25937137,-0.951947639,-0.454537111,-1.40648475,0.196789096,0.228080233,-0.368983824,-1.227861591,6.45E-16,5.17E-39,1.51E-21,1
S91,-0.765807895,-0.384021977,-1.149829872,0.240520159,-0.951947639,-0.585796651,-1.53774429,0.176863428,0.208691793,-0.484909314,-1.343787081,1.05E-15,2.18E-37,3.58E-20,1
S92,-0.765807895,0.095351151,-0.670456744,0.338394576,-0.951947639,0.08126491,-0.870682729,0.29511226,0.316753418,0.08830803,-0.770569737,0.872374066,3.43E-22,0.127624952,0.000000981
S93,-0.765807895,0.131263323,-0.634544571,0.346480785,-0.951947639,-0.118486593,-1.070434232,0.255320514,0.30090065,0.006388365,-0.852489402,8.40E-15,6.21E-38,1.74E-19,1
S94,-0.765807895,0.011851483,-0.753956411,0.31995983,-0.951947639,0.165270813,-0.786676827,0.312882664,0.316421247,0.088561148,-0.770316619,4.76E-15,3.03E-34,2.61E-15,1
S95,-0.765807895,0.001354983,-0.764452912,0.317680273,-0.951947639,0.050290498,-0.901657141,0.288710073,0.303195173,0.025822741,-0.833055027,0.000382115,0.999617403,0.000000483,2.97E-15
S96,-0.765807895,-0.544297205,-1.3101051,0.212469258,-0.951947639,-0.447425396,-1.399373035,0.19791562,0.205192439,-0.495861301,-1.354739068,1.73E-16,4.17E-36,2.46E-21,1
S97,-0.765807895,-0.378327175,-1.14413507,0.241561966,-0.951947639,-0.447425396,-1.399373035,0.19791562,0.219738793,-0.412876286,-1.271754053,0.999965152,1.81E-18,0.0000348,4.35E-08
S98,-0.765807895,-0.16182184,-0.927629735,0.283405837,-0.951947639,-0.18157599,-1.133523629,0.243511414,0.263458626,-0.171698915,-1.030576682,6.34E-14,3.88E-39,1.14E-20,1
S99,-0.765807895,0.253652696,-0.512155199,0.374688433,-0.951947639,0.369651188,-0.582296451,0.358404352,0.366546392,0.311651942,-0.547225825,2.87E-15,5.48E-35,2.16E-21,1
